type/year,Quarter,CIK_old,Name,Type,Date,cik_formatted,file_name,gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,apdedate,fdate,at,ceq,oiadp,sale,exchg,cik,costat,conml,ggroup,gsector,delta_sale,delta_at
sec-10-k/1996,Q1,20,K TRON INTERNATIONAL INC,10-K,1996-03-28,20,sec-10-k/1996_Q1_20_K TRON INTERNATIONAL INC_10-K_1996-03-28,6314,1996-12-31 00:00:00,1996,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,,,55.33,13.194,7.876,89.871,14,20,I,K-Tron International Inc,2010,20,na,na
sec-10-k/1997,Q1,20,K TRON INTERNATIONAL INC,10-K,1997-03-19,20,sec-10-k/1997_Q1_20_K TRON INTERNATIONAL INC_10-K_1997-03-19,6314,1997-12-31 00:00:00,1997,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,,,54.249,18.892,8.442,87.152,14,20,I,K-Tron International Inc,2010,20,-3.0254475859843644,0
sec-10-k/1999,Q1,20,K TRON INTERNATIONAL INC,10-K,1999-03-23,20,sec-10-k/1999_Q1_20_K TRON INTERNATIONAL INC_10-K_1999-03-23,6314,1999-12-31 00:00:00,1999,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,,,54.77,25.21,9.139,87.887,14,20,I,K-Tron International Inc,2010,20,na,na
sec-10-k/2001,Q1,20,K TRON INTERNATIONAL INC,10-K,2001-03-26,20,sec-10-k/2001_Q1_20_K TRON INTERNATIONAL INC_10-K_2001-03-26,6314,2001-12-31 00:00:00,2001,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,,,47.644,21.561,2.685,71.819,14,20,I,K-Tron International Inc,2010,20,na,na
sec-10-k/2003,Q1,20,K TRON INTERNATIONAL INC,10-K,2003-03-27,20,sec-10-k/2003_Q1_20_K TRON INTERNATIONAL INC_10-K_2003-03-27,6314,2003-12-31 00:00:00,2003,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2004/01/03,,83.081,35.114,6.833,94.676,14,20,I,K-Tron International Inc,2010,20,na,na
sec-10-k/2004,Q2,20,K TRON INTERNATIONAL INC,10-K,2004-04-01,20,sec-10-k/2004_Q2_20_K TRON INTERNATIONAL INC_10-K_2004-04-01,6314,2004-12-31 00:00:00,2004,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2005/01/01,,93.016,45.559,9.884,112.494,14,20,I,K-Tron International Inc,2010,20,18.819975495373694,1
sec-10-k/2005,Q1,20,K TRON INTERNATIONAL INC,10-K,2005-03-31,20,sec-10-k/2005_Q1_20_K TRON INTERNATIONAL INC_10-K_2005-03-31,6314,2005-12-31 00:00:00,2005,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2005/12/31,,89.11,49.52,13.217,118.94,14,20,I,K-Tron International Inc,2010,20,5.7300833822248283,0
sec-10-k/2006,Q1,20,K TRON INTERNATIONAL INC,10-K,2006-03-23,20,sec-10-k/2006_Q1_20_K TRON INTERNATIONAL INC_10-K_2006-03-23,6314,2006-12-31 00:00:00,2006,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2006/12/30,2007/04/10,140.996,65.381,20.43,148.127,14,20,I,K-Tron International Inc,2010,20,24.539263494198767,1
sec-10-k/2007,Q1,20,K TRON INTERNATIONAL INC,10-K,2007-03-09,20,sec-10-k/2007_Q1_20_K TRON INTERNATIONAL INC_10-K_2007-03-09,6314,2007-12-31 00:00:00,2007,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2007/12/29,2008/04/08,184.118,93.953,31.878,201.677,14,20,I,K-Tron International Inc,2010,20,36.151410613865131,1
sec-10-k/2008,Q1,20,K TRON INTERNATIONAL INC,10-K,2008-03-12,20,sec-10-k/2008_Q1_20_K TRON INTERNATIONAL INC_10-K_2008-03-12,6314,2008-12-31 00:00:00,2008,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2009/01/03,2009/04/07,199.444,126.052,37.981,243.018,14,20,I,K-Tron International Inc,2010,20,20.498619079022383,1
sec-10-k/2009,Q1,20,K TRON INTERNATIONAL INC,10-K,2009-03-13,20,sec-10-k/2009_Q1_20_K TRON INTERNATIONAL INC_10-K_2009-03-13,6314,2009-12-31 00:00:00,2009,INDL,C,D,STD,KTII,482730108,K-TRON INTERNATIONAL INC,USD,12,2010/01/02,2010/04/08,204.236,153.312,29.88,190.774,14,20,I,K-Tron International Inc,2010,20,-21.497996033215646,1
sec-10-k/1994,Q3,1750,AAR CORP,10-K,1994-08-24,1750,sec-10-k/1994_Q3_1750_AAR CORP_10-K_1994-08-24,1004,1994-05-31 00:00:00,1993,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,,,417.626,189.488,21.824,407.754,11,1750,A,AAR Corp,2010,20,na,na
sec-10-k/1995,Q3,1750,AAR CORP,10-K,1995-08-11,1750,sec-10-k/1995_Q3_1750_AAR CORP_10-K_1995-08-11,1004,1995-05-31 00:00:00,1994,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,,,425.814,197.119,24.438,451.395,11,1750,A,AAR Corp,2010,20,10.702776674171183,1
sec-10-k/2002,Q3,1750,AAR CORP,10-K,2002-08-26,1750,sec-10-k/2002_Q3_1750_AAR CORP_10-K_2002-08-26,1004,2002-05-31 00:00:00,2001,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,,,710.199,310.235,4.711,638.721,11,1750,A,AAR Corp,2010,20,na,na
sec-10-k/2003,Q3,1750,AAR CORP,10-K,2003-08-18,1750,sec-10-k/2003_Q3_1750_AAR CORP_10-K_2003-08-18,1004,2003-05-31 00:00:00,2002,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,,,686.621,294.988,3.573,606.337,11,1750,A,AAR Corp,2010,20,-5.0701323426034239,0
sec-10-k/2004,Q3,1750,AAR CORP,10-K,2004-07-22,1750,sec-10-k/2004_Q3_1750_AAR CORP_10-K_2004-07-22,1004,2004-05-31 00:00:00,2003,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,2004/05/31,,709.292,301.684,20.811,651.958,11,1750,A,AAR Corp,2010,20,7.5240336644473444,1
sec-10-k/2005,Q3,1750,AAR CORP,10-K,2005-07-22,1750,sec-10-k/2005_Q3_1750_AAR CORP_10-K_2005-07-22,1004,2005-05-31 00:00:00,2004,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,2005/05/31,,732.23,314.744,33.824,747.848,11,1750,A,AAR Corp,2010,20,14.708002662748209,1
sec-10-k/2006,Q3,1750,AAR CORP,10-K,2006-07-17,1750,sec-10-k/2006_Q3_1750_AAR CORP_10-K_2006-07-17,1004,2006-05-31 00:00:00,2005,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,2006/05/31,,978.819,422.717,62.655,897.284,11,1750,A,AAR Corp,2010,20,19.982135407195031,1
sec-10-k/2007,Q3,1750,AAR CORP,10-K,2007-07-20,1750,sec-10-k/2007_Q3_1750_AAR CORP_10-K_2007-07-20,1004,2007-05-31 00:00:00,2006,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,2007/05/31,2007/08/24,1067.633,494.243,86.708,1061.169,11,1750,A,AAR Corp,2010,20,18.264562836292622,1
sec-10-k/2008,Q3,1750,AAR CORP,10-K,2008-07-11,1750,sec-10-k/2008_Q3_1750_AAR CORP_10-K_2008-07-11,1004,2008-05-31 00:00:00,2007,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,2008/05/31,2008/07/16,1362.01,585.255,128.57,1384.919,11,1750,A,AAR Corp,2010,20,30.508806797032332,1
sec-10-k/2009,Q3,1750,AAR CORP,10-K,2009-07-16,1750,sec-10-k/2009_Q3_1750_AAR CORP_10-K_2009-07-16,1004,2009-05-31 00:00:00,2008,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,2009/05/31,2009/07/22,1377.511,656.895,125.529,1423.976,11,1750,A,AAR Corp,2010,20,2.8201649338336932,1
sec-10-k/2010,Q3,1750,AAR CORP,10-K,2010-07-16,1750,sec-10-k/2010_Q3_1750_AAR CORP_10-K_2010-07-16,1004,2010-05-31 00:00:00,2009,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,2010/05/31,2010/07/26,1501.042,746.906,95.415,1352.151,11,1750,A,AAR Corp,2010,20,-5.0439754602605689,1
sec-10-k/2011,Q3,1750,AAR CORP,10-K,2011-07-13,1750,sec-10-k/2011_Q3_1750_AAR CORP_10-K_2011-07-13,1004,2011-05-31 00:00:00,2010,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,2011/05/31,2011/07/20,1703.727,835.845,137.016,1775.782,11,1750,A,AAR Corp,2010,20,31.330154694261221,1
sec-10-k/2012,Q3,1750,AAR CORP,10-K,2012-07-19,1750,sec-10-k/2012_Q3_1750_AAR CORP_10-K_2012-07-19,1004,2012-05-31 00:00:00,2011,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,2012/05/31,2012/07/23,2195.653,864.649,142.36,2074.498,11,1750,A,AAR Corp,2010,20,16.821659415401207,1
sec-10-k/2013,Q3,1750,AAR CORP,10-K,2013-07-26,1750,sec-10-k/2013_Q3_1750_AAR CORP_10-K_2013-07-26,1004,2013-05-31 00:00:00,2012,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,2013/05/31,2013/08/01,2136.9,918.6,136.6,2167.1,11,1750,A,AAR Corp,2010,20,4.4638269113780709,0
sec-10-k/2014,Q3,1750,AAR CORP,10-K,2014-07-17,1750,sec-10-k/2014_Q3_1750_AAR CORP_10-K_2014-07-17,1004,2014-05-31 00:00:00,2013,INDL,C,D,STD,AIR,000361105,AAR CORP,USD,5,2014/05/31,2014/07/20,2199.5,999.5,142.6,2035.0,11,1750,A,AAR Corp,2010,20,-6.0957039361358456,1
sec-10-k/1998,Q3,1923,ABRAMS INDUSTRIES INC,10-K,1998-07-17,1923,sec-10-k/1998_Q3_1923_ABRAMS INDUSTRIES INC_10-K_1998-07-17,1082,1998-04-30 00:00:00,1997,INDL,C,D,STD,SERV.1,81765M106,SERVIDYNE INC,USD,4,,,121.309,24.536,8.69,177.782,14,1923,I,Servidyne Inc,2020,20,na,na
sec-10-k/1999,Q3,1923,ABRAMS INDUSTRIES INC,10-K,1999-07-28,1923,sec-10-k/1999_Q3_1923_ABRAMS INDUSTRIES INC_10-K_1999-07-28,1082,1999-04-30 00:00:00,1998,INDL,C,D,STD,SERV.1,81765M106,SERVIDYNE INC,USD,4,,,126.133,23.273,3.81,188.484,14,1923,I,Servidyne Inc,2020,20,6.0197320313642537,1
sec-10-k/2001,Q3,1923,ABRAMS INDUSTRIES INC,10-K,2001-07-18,1923,sec-10-k/2001_Q3_1923_ABRAMS INDUSTRIES INC_10-K_2001-07-18,1082,2001-04-30 00:00:00,2000,INDL,C,D,STD,SERV.1,81765M106,SERVIDYNE INC,USD,4,,,97.62,22.506,5.14,154.075,14,1923,I,Servidyne Inc,2020,20,na,na
sec-10-k/2002,Q3,1923,ABRAMS INDUSTRIES INC,10-K,2002-07-23,1923,sec-10-k/2002_Q3_1923_ABRAMS INDUSTRIES INC_10-K_2002-07-23,1082,2002-04-30 00:00:00,2001,INDL,C,D,STD,SERV.1,81765M106,SERVIDYNE INC,USD,4,,,90.941,22.779,2.601,117.326,14,1923,I,Servidyne Inc,2020,20,-23.851371085510294,0
sec-10-k/2003,Q3,1923,ABRAMS INDUSTRIES INC,10-K,2003-07-29,1923,sec-10-k/2003_Q3_1923_ABRAMS INDUSTRIES INC_10-K_2003-07-29,1082,2003-04-30 00:00:00,2002,INDL,C,D,STD,SERV.1,81765M106,SERVIDYNE INC,USD,4,,,73.797,21.258,0.088,74.015,14,1923,I,Servidyne Inc,2020,20,-36.915091284114347,0
sec-10-k/2004,Q3,1923,ABRAMS INDUSTRIES INC,10-K,2004-07-28,1923,sec-10-k/2004_Q3_1923_ABRAMS INDUSTRIES INC_10-K_2004-07-28,1082,2004-04-30 00:00:00,2003,INDL,C,D,STD,SERV.1,81765M106,SERVIDYNE INC,USD,4,2004/04/30,,61.876,19.998,-4.7,38.947,14,1923,I,Servidyne Inc,2020,20,-47.379585219212331,0
sec-10-k/2005,Q3,1923,ABRAMS INDUSTRIES INC,10-K,2005-07-25,1923,sec-10-k/2005_Q3_1923_ABRAMS INDUSTRIES INC_10-K_2005-07-25,1082,2005-04-30 00:00:00,2004,INDL,C,D,STD,SERV.1,81765M106,SERVIDYNE INC,USD,4,2005/04/30,,57.067,20.913,-0.326,22.636,14,1923,I,Servidyne Inc,2020,20,-41.879990756669315,0
sec-10-k/1996,Q2,1952,IREX CORP,10-K,1996-04-01,1952,sec-10-k/1996_Q2_1952_IREX CORP_10-K_1996-04-01,6182,1996-12-31 00:00:00,1996,INDL,C,D,STD,IREX,462683103,IREX CORP,USD,12,,,85.325,11.786,6.829,271.131,19,1952,I,Irex Corp,2010,20,na,na
sec-10-k/1997,Q1,1952,IREX CORP,10-K,1997-03-31,1952,sec-10-k/1997_Q1_1952_IREX CORP_10-K_1997-03-31,6182,1997-12-31 00:00:00,1997,INDL,C,D,STD,IREX,462683103,IREX CORP,USD,12,,,88.545,13.073,6.44,278.15,19,1952,I,Irex Corp,2010,20,2.5887854948346027,1
sec-10-k/1998,Q2,1952,IREX CORP,10-K,1998-04-01,1952,sec-10-k/1998_Q2_1952_IREX CORP_10-K_1998-04-01,6182,1998-12-31 00:00:00,1998,INDL,C,D,STD,IREX,462683103,IREX CORP,USD,12,,,57.871,15.528,10.852,315.119,19,1952,I,Irex Corp,2010,20,13.291030019773522,0
sec-10-k/1999,Q2,1952,IREX CORP,10-K,1999-04-01,1952,sec-10-k/1999_Q2_1952_IREX CORP_10-K_1999-04-01,6182,1999-12-31 00:00:00,1999,INDL,C,D,STD,IREX,462683103,IREX CORP,USD,12,,,55.345,17.34,4.346,136.279,19,1952,I,Irex Corp,2010,20,-56.753163090768894,0
sec-10-k/1996,Q2,1969,AMETECH INC,10-K,1996-04-15,1969,sec-10-k/1996_Q2_1969_AMETECH INC_10-K_1996-04-15,1086,1996-12-31 00:00:00,1996,INDL,C,D,STD,3AMETE,031095102,AMETECH INC,USD,12,,,13.821,3.784,-0.605,18.112,13,1969,I,Ametech Inc,2020,20,na,na
sec-10-k/1995,Q3,2070,ACME ELECTRIC CORP,10-K,1995-09-28,2070,sec-10-k/1995_Q3_2070_ACME ELECTRIC CORP_10-K_1995-09-28,1099,1995-06-30 00:00:00,1995,INDL,C,D,STD,ACEE,004644100,ACME ELECTRIC CORP,USD,6,,,56.178,15.849,3.476,91.127,14,2070,I,Acme Electric Corp,2010,20,na,na
sec-10-k/1996,Q3,2070,ACME ELECTRIC CORP,10-K,1996-09-27,2070,sec-10-k/1996_Q3_2070_ACME ELECTRIC CORP_10-K_1996-09-27,1099,1996-06-30 00:00:00,1996,INDL,C,D,STD,ACEE,004644100,ACME ELECTRIC CORP,USD,6,,,54.144,15.684,1.285,96.551,14,2070,I,Acme Electric Corp,2010,20,5.9521327378274185,0
sec-10-k/1997,Q3,2070,ACME ELECTRIC CORP,10-K,1997-09-26,2070,sec-10-k/1997_Q3_2070_ACME ELECTRIC CORP_10-K_1997-09-26,1099,1997-06-30 00:00:00,1997,INDL,C,D,STD,ACEE,004644100,ACME ELECTRIC CORP,USD,6,,,50.144,16.488,2.895,94.062,14,2070,I,Acme Electric Corp,2010,20,-2.5779121914842831,0
sec-10-k/1998,Q3,2070,ACME ELECTRIC CORP,10-K,1998-09-28,2070,sec-10-k/1998_Q3_2070_ACME ELECTRIC CORP_10-K_1998-09-28,1099,1998-06-30 00:00:00,1998,INDL,C,D,STD,ACEE,004644100,ACME ELECTRIC CORP,USD,6,,,45.495,19.075,5.646,90.916,14,2070,I,Acme Electric Corp,2010,20,-3.3446024962259089,0
sec-10-k/2000,Q3,2070,ACME ELECTRIC CORP,10-K,2000-09-29,2070,sec-10-k/2000_Q3_2070_ACME ELECTRIC CORP_10-K_2000-09-29,1099,2000-06-30 00:00:00,2000,INDL,C,D,STD,ACEE,004644100,ACME ELECTRIC CORP,USD,6,,,46.21,22.706,5.019,80.914,14,2070,I,Acme Electric Corp,2010,20,na,na
sec-10-k/1996,Q1,2098,ACME UNITED CORP,10-K,1996-03-29,2098,sec-10-k/1996_Q1_2098_ACME UNITED CORP_10-K_1996-03-29,1104,1996-12-31 00:00:00,1996,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,,,27.251,6.515,-0.224,47.481,12,2098,A,Acme United Corp,2020,20,na,na
sec-10-k/1997,Q1,2098,ACME UNITED CORP,10-K,1997-03-28,2098,sec-10-k/1997_Q1_2098_ACME UNITED CORP_10-K_1997-03-28,1104,1997-12-31 00:00:00,1997,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,,,29.857,6.293,0.796,46.278,12,2098,A,Acme United Corp,2020,20,-2.5336450369621595,1
sec-10-k/1998,Q1,2098,ACME UNITED CORP,10-K,1998-03-27,2098,sec-10-k/1998_Q1_2098_ACME UNITED CORP_10-K_1998-03-27,1104,1998-12-31 00:00:00,1998,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,,,28.896,4.675,-0.854,36.457,12,2098,A,Acme United Corp,2020,20,-21.221746834348931,0
sec-10-k/1999,Q1,2098,ACME UNITED CORP,10-K,1999-03-31,2098,sec-10-k/1999_Q1_2098_ACME UNITED CORP_10-K_1999-03-31,1104,1999-12-31 00:00:00,1999,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,,,20.767,6.918,0.605,34.309,12,2098,A,Acme United Corp,2020,20,-5.8918726170557179,0
sec-10-k/2000,Q1,2098,ACME UNITED CORP,10-K,2000-03-30,2098,sec-10-k/2000_Q1_2098_ACME UNITED CORP_10-K_2000-03-30,1104,2000-12-31 00:00:00,2000,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,,,21.118,7.893,2.429,34.413,12,2098,A,Acme United Corp,2020,20,0.30312745926726609,1
sec-10-k/2001,Q1,2098,ACME UNITED CORP,10-K,2001-03-28,2098,sec-10-k/2001_Q1_2098_ACME UNITED CORP_10-K_2001-03-28,1104,2001-12-31 00:00:00,2001,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,,,20.173,8.672,2.47,36.165,12,2098,A,Acme United Corp,2020,20,5.0910992938714879,0
sec-10-k/2002,Q1,2098,ACME UNITED CORP,10-K,2002-03-26,2098,sec-10-k/2002_Q1_2098_ACME UNITED CORP_10-K_2002-03-26,1104,2002-12-31 00:00:00,2002,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,,,17.614,8.48,1.11,30.884,12,2098,A,Acme United Corp,2020,20,-14.602516244988246,0
sec-10-k/2003,Q1,2098,ACME UNITED CORP,10-K,2003-03-14,2098,sec-10-k/2003_Q1_2098_ACME UNITED CORP_10-K_2003-03-14,1104,2003-12-31 00:00:00,2003,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2003/12/31,,20.023,10.179,2.486,34.975,12,2098,A,Acme United Corp,2020,20,13.246341147519756,1
sec-10-k/2004,Q1,2098,ACME UNITED CORP,10-K,2004-03-05,2098,sec-10-k/2004_Q1_2098_ACME UNITED CORP_10-K_2004-03-05,1104,2004-12-31 00:00:00,2004,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2004/12/31,,23.009,13.982,5.575,43.381,12,2098,A,Acme United Corp,2020,20,24.034310221586843,1
sec-10-k/2005,Q1,2098,ACME UNITED CORP,10-K,2005-03-18,2098,sec-10-k/2005_Q1_2098_ACME UNITED CORP_10-K_2005-03-18,1104,2005-12-31 00:00:00,2005,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2005/12/31,,28.194,14.065,6.843,49.946,12,2098,A,Acme United Corp,2020,20,15.133353311357517,1
sec-10-k/2006,Q1,2098,ACME UNITED CORP,10-K,2006-03-16,2098,sec-10-k/2006_Q1_2098_ACME UNITED CORP_10-K_2006-03-16,1104,2006-12-31 00:00:00,2006,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2006/12/31,2007/04/24,35.021,18.131,6.713,56.863,12,2098,A,Acme United Corp,2020,20,13.848956873423285,1
sec-10-k/2007,Q1,2098,ACME UNITED CORP,10-K,2007-03-15,2098,sec-10-k/2007_Q1_2098_ACME UNITED CORP_10-K_2007-03-15,1104,2007-12-31 00:00:00,2007,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2007/12/31,2008/03/26,42.222,23.046,6.752,63.173,12,2098,A,Acme United Corp,2020,20,11.096846807238455,1
sec-10-k/2008,Q1,2098,ACME UNITED CORP,10-K,2008-03-12,2098,sec-10-k/2008_Q1_2098_ACME UNITED CORP_10-K_2008-03-12,1104,2008-12-31 00:00:00,2008,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2008/12/31,2009/04/08,45.424,22.888,6.879,68.719,12,2098,A,Acme United Corp,2020,20,8.7790670064742731,1
sec-10-k/2009,Q1,2098,ACME UNITED CORP,10-K,2009-03-10,2098,sec-10-k/2009_Q1_2098_ACME UNITED CORP_10-K_2009-03-10,1104,2009-12-31 00:00:00,2009,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2009/12/31,2010/04/10,42.309,24.541,3.027,59.149,12,2098,A,Acme United Corp,2020,20,-13.926279486022789,0
sec-10-k/2010,Q1,2098,ACME UNITED CORP,10-K,2010-03-09,2098,sec-10-k/2010_Q1_2098_ACME UNITED CORP_10-K_2010-03-09,1104,2010-12-31 00:00:00,2010,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2010/12/31,2011/04/08,49.581,25.352,2.98,63.149,12,2098,A,Acme United Corp,2020,20,6.7625826303065146,1
sec-10-k/2011,Q1,2098,ACME UNITED CORP,10-K,2011-03-11,2098,sec-10-k/2011_Q1_2098_ACME UNITED CORP_10-K_2011-03-11,1104,2011-12-31 00:00:00,2011,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2011/12/31,2012/04/10,55.222,27.775,4.409,73.302,12,2098,A,Acme United Corp,2020,20,16.07784763020792,1
sec-10-k/2012,Q1,2098,ACME UNITED CORP,10-K,2012-03-07,2098,sec-10-k/2012_Q1_2098_ACME UNITED CORP_10-K_2012-03-07,1104,2012-12-31 00:00:00,2012,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2012/12/31,2013/04/05,67.828,30.866,5.361,84.37,12,2098,A,Acme United Corp,2020,20,15.09917874000711,1
sec-10-k/2013,Q1,2098,ACME UNITED CORP,10-K,2013-03-08,2098,sec-10-k/2013_Q1_2098_ACME UNITED CORP_10-K_2013-03-08,1104,2013-12-31 00:00:00,2013,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2013/12/31,2014/04/04,68.079,35.005,5.879,89.577,12,2098,A,Acme United Corp,2020,20,6.1716249851843159,1
sec-10-k/2014,Q1,2098,ACME UNITED CORP,10-K,2014-03-06,2098,sec-10-k/2014_Q1_2098_ACME UNITED CORP_10-K_2014-03-06,1104,2014-12-31 00:00:00,2014,INDL,C,D,STD,ACU,004816104,ACME UNITED CORP,USD,12,2014/12/31,2015/04/10,79.308,39.428,7.694,107.222,12,2098,A,Acme United Corp,2020,20,19.698136798508539,1
sec-10-k/1997,Q4,2310,MULTIGRAPHICS INC,10-K,1997-10-22,2310,sec-10-k/1997_Q4_2310_MULTIGRAPHICS INC_10-K_1997-10-22,1043,1997-07-31 00:00:00,1997,INDL,C,D,STD,MTI.3,625440102,MULTIGRAPHICS INC,USD,7,,,44.9,-11.9,-0.826,88.661,12,2310,I,Multigraphics Inc,2020,20,na,na
sec-10-k/1998,Q4,2310,MULTIGRAPHICS INC,10-K,1998-10-28,2310,sec-10-k/1998_Q4_2310_MULTIGRAPHICS INC_10-K_1998-10-28,1043,1998-07-31 00:00:00,1998,INDL,C,D,STD,MTI.3,625440102,MULTIGRAPHICS INC,USD,7,,,45.639,-10.144,3.271,95.251,12,2310,I,Multigraphics Inc,2020,20,7.4328058560133581,1
sec-10-k/1998,Q1,2589,AERO SYSTEMS ENGINEERING INC,10-K,1998-02-27,2589,sec-10-k/1998_Q1_2589_AERO SYSTEMS ENGINEERING INC_10-K_1998-02-27,1154,1998-12-31 00:00:00,1998,INDL,C,D,STD,AERS.,007692106,AERO SYSTEMS ENGINEERING INC,USD,12,,,21.48,4.915,1.624,27.181,19,2589,I,Aero Systems Engineering Inc,2010,20,na,na
sec-10-k/1999,Q1,2589,AERO SYSTEMS ENGINEERING INC,10-K,1999-03-12,2589,sec-10-k/1999_Q1_2589_AERO SYSTEMS ENGINEERING INC_10-K_1999-03-12,1154,1999-12-31 00:00:00,1999,INDL,C,D,STD,AERS.,007692106,AERO SYSTEMS ENGINEERING INC,USD,12,,,20.684,4.27,0.14,31.061,19,2589,I,Aero Systems Engineering Inc,2010,20,14.274677164195587,0
sec-10-k/1994,Q1,3000,AIRBORNE FREIGHT CORP -DE-,10-K,1994-03-29,3000,sec-10-k/1994_Q1_3000_AIRBORNE FREIGHT CORP -DE-_10-K_1994-03-29,1213,1994-12-31 00:00:00,1994,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,12,,,1078.506,387.398,88.938,1970.759,11,3000,I,Airborne Inc.,2030,20,na,na
sec-10-k/1995,Q1,3000,AIRBORNE FREIGHT CORP -DE-,10-K,1995-03-29,3000,sec-10-k/1995_Q1_3000_AIRBORNE FREIGHT CORP -DE-_10-K_1995-03-29,1213,1995-12-31 00:00:00,1995,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,12,,,1217.384,406.315,68.981,2239.351,11,3000,I,Airborne Inc.,2030,20,13.628860758722913,1
sec-10-k/1996,Q1,3000,AIRBORNE FREIGHT CORP -DE-,10-K,1996-03-27,3000,sec-10-k/1996_Q1_3000_AIRBORNE FREIGHT CORP -DE-_10-K_1996-03-27,1213,1996-12-31 00:00:00,1996,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,12,,,1307.422,431.83,82.918,2484.306,11,3000,I,Airborne Inc.,2030,20,10.93866035293261,1
sec-10-k/1997,Q1,3000,AIRBORNE FREIGHT CORP -DE-,10-K,1997-03-27,3000,sec-10-k/1997_Q1_3000_AIRBORNE FREIGHT CORP -DE-_10-K_1997-03-27,1213,1997-12-31 00:00:00,1997,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,12,,,1365.973,670.915,225.255,2912.409,11,3000,I,Airborne Inc.,2030,20,17.232297470601448,1
sec-10-k/2001,Q1,3000,AIRBORNE INC -DE-,10-K,2001-03-29,3000,sec-10-k/2001_Q1_3000_AIRBORNE INC -DE-_10-K_2001-03-29,1213,2001-12-31 00:00:00,2001,INDL,C,D,STD,ABF,009269101,AIRBORNE INC,USD,12,,,1746.844,834.216,-22.431,3211.089,11,3000,I,Airborne Inc.,2030,20,na,na
sec-10-k/2003,Q1,3197,CECO ENVIRONMENTAL CORP,10-K,2003-03-27,3197,sec-10-k/2003_Q1_3197_CECO ENVIRONMENTAL CORP_10-K_2003-03-27,1050,2003-12-31 00:00:00,2003,INDL,C,D,STD,CECE,125141101,CECO ENVIRONMENTAL CORP,USD,12,2003/12/31,,41.154,8.03,1.364,68.159,14,3197,A,CECO Environmental Corp.,2020,20,na,na
